,,,"Transaction Costs, $",,,"Transaction Costs, $ House Price",,,
,Paid By,Description,Centralized,Decentralized,,Centralized,Decentralized,,
,Buyer,Service Provider Fees,"$5,984","$1,700",,1.45%,0.41%,,
,Borrower,Broker + Lender Commission,"$11,124","$1,645",,2.70%,0.40%,,
,Borrower,Excess Interest,"$28,128",$0,,6.83%,0.00%,,"Over average 7 year hold period. Held to 30 year loan maturity adds $95,163 in extra interest due to rate-embedded commission."
,Seller,Real Estate Agent Fees,"$21,918","$3,800",,5.32%,0.92%,,
,,,,,,,,,
,,"Per Transaction Total, $","$67,155","$7,145",,16.30%,1.73%,,
,,,,,,,,,
,,"National Total, $bn",234.8,29.7,,,,,
,,As % 2024 GDP,0.80%,0.10%,,,,,
,,Savings,,0.70%,,,,,
,,,,,,,,,
,Notes:,,,,,,,,
,This are only transaction costs.,,,,,,,,
,"Does not include par rate mortgage interest cost, mortgage principal, taxes, insurance, HOA, capex, or similar costs of ownership.",,,,,,,,
,"We term ""excess interest"" as the cumulative increase in interest paid over and above the value of broker/lender sales commissions themselves. Excess interest therefore precisely quantifies the tax on the consumer due to embedding the sales commissions in the interest rate (""rate-embedding"") vs. the consumer paying the sales commissions directly in cash. See Whitepaper Appendix for a full explanation.",,,,,,,,
